Название авто,Рейтинг,Цена,Расположение,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен,Противоугонная система,Центральный замок,Фронтальные,Гидравлический,Усилитель руля,Управление климатом,Управление на руле,Салон,Цвет салона,Электростеклоподъемники,Электропривод,Мультимедиа и навигацияCD/DVD/Blu-rayMP3,Подушки безопасности,Коленные,Боковые передние,Активная безопасность,Антипробуксовка,Распред. тормозных усилий,Данные о ,О,Передних сидений,Заднего стекла,Передние и задние,Зеркал,Антиблокировка тормозов,Шторки,Обогрев,Задних сидений,Иммобилайзер,Помощь при вождении,Парктроник задний,Бортовой компьютер,Атермальное остекление,Камера заднего вида,Датчик дождя,Круиз-контроль,Боковые задние,Шины и диски,Кожаный руль,Мультимедиа и навигацияUSBAUX,Электрический,Блок. дифференциала,Климат-контроль многозонный,Сигнализация,Мультимедиа и навигацияMP3,Курсовая устойчивость,Мультимедиа и навигация,Тёмный,Обслуживался у дилера,Мультимедиа и навигацияUSBAUXBluetooth,Ксеноновые,Климат-контроль однозонный,РадиоUSB,Ткань,ВидеоUSBAUXBluetoothGPS-навигатор
"Volkswagen Polo 1.6 AT, 2014, 234 000 км","4,8",895000,"Ставропольский край, Невинномысск, ул. Гагарина, 1Б",2014,V (2009—2015),234 000 км,7 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MPI AT (105 л.с.),1.6 л,Бензин,Автомат,Передний,Highline,Седан,Белый,Левый,XW8Z*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Touareg 3.0 AT, 2008, 290 000 км","4,6",750000,"Московская обл., Чехов, ул. Гагарина, 43",2008,I рестайлинг (2006—2010),290 000 км,12 записей в отчёте Автотеки,Оригинал,4+,Не битый,3.0 V6 TDI AT (240 л.с.),3 л,Дизель,Автомат,Полный,R-Line,Внедорожник 5-дверный,Бордовый,Левый,WVGZ*************,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2018, 157 000 км","4,8",825000,"Свердловская обл., Екатеринбург, ул. Машинистов, 14",2018,V рестайлинг (2015—2020),157 000 км,4 записи в отчёте Автотеки,Оригинал,2,Не битый,1.6 MPI MT (90 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Белый,Левый,XW8Z*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2011, 121 000 км","4,8",780000,"Москва, Чертановская ул., 54к2",2011,V (2009—2015),121 000 км,12 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MPI MT (105 л.с.),1.6 л,Бензин,Механика,Передний,Highline,Седан,Чёрный,Левый,XW8Z*************,Не интересует,,,,,Электрический,Климат-контроль однозонный,Атермальное остекление,,,,,,Фронтальные,Шторки,Боковые задние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Passat 1.4 AMT, 2018, 126 000 км","4,9",2050000,"Республика Адыгея, Майкоп, пл. Ленина",2018,B8 (2014—2020),126 000 км,11 записей в отчёте Автотеки,Оригинал,3,Не битый,1.4 TSI DSG (150 л.с.),1.4 л,Бензин,Робот,Передний,Trendline,Седан,Белый,Левый,WVWZ*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Jetta 1.4 AT, 2020, 115 000 км","5,0",1850000,"Краснодарский край, Крымский р-н, Крымское городское поселение, Крымск, ул. Свердлова, 111",2020,VII (2018—2021),115 000 км,2 записи в отчёте Автотеки,Электронный,1,Не битый,1.4 TSI AT (150 л.с.),1.4 л,Бензин,Автомат,Передний,Status,Седан,Белый,Левый,3VWC*************,Не интересует,,,,,Электрогидравлический,Климат-контроль многозонный,,,,,,,Фронтальные,Шторки,Боковые задние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Jetta 1.6 AT, 2015, 162 100 км","4,9",1270000,"Республика Башкортостан, Октябрьский, ул. Космонавтов, 30В",2015,VI рестайлинг (2014—2019),162 100 км,5 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MPI AT (105 л.с.),1.6 л,Бензин,Автомат,Передний,,Седан,Белый,Левый,XW8Z*************,Не интересует,,,,,Электрический,Кондиционер,,,,,,,Фронтальные,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Jetta 1.6 AT, 2013, 178 000 км","4,8",900000,"Нижегородская обл., Нижний Новгород",2013,VI (2010—2015),178 000 км,18 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 AT (105 л.с.),1.6 л,Бензин,Автомат,Передний,Comfortline,Седан,Чёрный,Левый,XW8Z*************,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.4 AT, 2003, 197 000 км","4,5",435000,"Ростовская обл., Ростов-на-Дону, ул. Оганова, 1",2003,IV (2001—2005),197 000 км,10 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.4 AT (75 л.с.),1.4 л,Бензин,Автомат,Передний,Базовая,Хетчбек 5-дверный,Серый,Левый,WVWZ*************,Не интересует,,,,,Гидравлический,,,,,Только передние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,РадиоAUXBluetooth,,,,,,,,
"Volkswagen Passat 1.8 MT, 2008, 197 000 км","4,8",650000,"Санкт-Петербург, пр-т Стачек, 92к1",2008,B6 (2005—2010),197 000 км,5 записей в отчёте Автотеки,,3,Не битый,1.8 TSI MT (160 л.с.),1.8 л,Бензин,Механика,Передний,Базовая,Седан,Синий,Левый,XW8Z*************,Не интересует,,,,Управление климатом,,,,,,,,,,,,,,,,,,,,,,,,,,Датчик дождя,Круиз-контроль,Усилитель руля,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2013, 280 000 км","4,8",750000,"Ставропольский край, Кисловодск",2013,V (2009—2015),280 000 км,16 записей в отчёте Автотеки,,4+,Не битый,1.6 MPI MT (105 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Чёрный,Левый,XW8Z*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Tiguan 2.0 AT, 2011, 169 000 км","4,8",1489000,"Самарская обл., Самара, Дачная ул., 26",2011,I рестайлинг (2011—2019),169 000 км,20 записей в отчёте Автотеки,Оригинал,2,Не битый,2.0 TSI 4Motion AT (180 л.с.),2 л,Бензин,Автомат,Полный,Club,Внедорожник 5-дверный,Белый,Левый,XW8Z*************,Возможен,Центральный замок,,,,Гидравлический,Управление на руле,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Tiguan 1.4 MT, 2011, 195 000 км","4,8",1190000,"Санкт-Петербург, пр-т Ветеранов, 109к1",2011,I рестайлинг (2011—2019),195 000 км,6 записей в отчёте Автотеки,Оригинал,2,Не битый,1.4 TSI MT (122 л.с.),1.4 л,Бензин,Механика,Передний,Trend&Fun,Внедорожник 5-дверный,Чёрный,Левый,XW8Z*************,Не интересует,Центральный замок,,,,Электрический,Климат-контроль многозонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 AT, 2013, 198 000 км","4,8",770000,"Воронежская обл., Воронеж, ул. Любы Шевцовой, 36А",2013,V (2009—2015),198 000 км,16 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 MPI AT (105 л.с.),1.6 л,Бензин,Автомат,Передний,Comfortline,Седан,Чёрный,Правый,XW8Z*************,Не интересует,,,,,,,,,,,,,,,,Антиблокировка тормозов,Курсовая устойчивость,Усилитель руля,,,,,,,,,,,,,,,,,,,,,,,Управление климатом,,,,,,,,,,,,,,
"Volkswagen Tiguan 2.0 AMT, 2019, 80 000 км","4,8",3050000,"Самарская обл., г.о. Тольятти, Автозаводский район",2019,II (2016—2020),80 000 км,12 записей в отчёте Автотеки,Оригинал,3,Не битый,2.0 TSI 4MOTION DSG (180 л.с.),2 л,Бензин,Робот,Полный,Sportline,Внедорожник 5-дверный,Серый,Левый,XW8Z*************,Не интересует,Сигнализация,Иммобилайзер,,,Электрический,Климат-контроль многозонный,Атермальное остекление,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Golf 1.4 MT, 2011, 141 000 км","4,8",700000,"Пермский край, Пермь, ул. Карпинского, 67",2011,Mk6 (2008—2012),141 000 км,13 записей в отчёте Автотеки,Оригинал,1,Не битый,1.4 MT (80 л.с.),1.4 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Чёрный,Левый,WVWZ*************,Возможен,,,,,Гидравлический,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Passat 1.8 AMT, 2010, 310 000 км","4,8",655000,"Свердловская обл., Асбестовский г.о., Асбест, ул. Мира, 5/2",2010,B6 (2005—2010),310 000 км,13 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.8 TSI DSG (152 л.с.),1.8 л,Бензин,Робот,Передний,Comfortline,Седан,Серебряный,Левый,XW8Z*************,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 AT, 2018, 280 000 км","4,8",970000,"Краснодарский край, Отрадненский р-н, Отрадненское сельское поселение, станица Отрадная, ул. Толстого, 301",2018,V рестайлинг (2015—2020),280 000 км,5 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MPI AT (110 л.с.),1.6 л,Бензин,Автомат,Передний,,Седан,Белый,Левый,XW8Z*************,Не интересует,,,Боковые передние,,Электрический,Кондиционер,,,,,,,,,,,,,,,,,,,,,,,,,,,Подушки безопасности,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2013, 139 001 км","4,8",849000,"Брянская обл., Брянск, Базарная ул., 1",2013,V (2009—2015),139 001 км,10 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MPI MT (105 л.с.),1.6 л,Бензин,Механика,Передний,Trendline,Седан,Белый,Левый,XW8Z*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Caddy 2.0 MT, 2017, 153 000 км","4,6",2200000,"Санкт-Петербург, территория Пороховые",2017,IV (2015—2020),153 000 км,2 записи в отчёте Автотеки,,1,Не битый,2.0 TDI MT (140 л.с.),2 л,Дизель,Механика,Передний,,Минивэн,Серый,Левый,WV2Z*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Jetta 1.6 MT, 2008, 350 000 км","4,8",600000,"Смоленская обл., Рославльский р-н, Рославльское городское поселение, Рославль, пл. Ленина",2008,V (2005—2011),350 000 км,21 запись в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (102 л.с.),1.6 л,Бензин,Механика,Передний,Trendline,Седан,Серебряный,Левый,XW8Z*************,Не интересует,Центральный замок,,,,Электрический,Климат-контроль многозонный,Атермальное остекление,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Golf 1.4 AMT, 2011, 135 000 км","4,8",425000,"Нижегородская обл., Дзержинск, ул. Терешковой, 62А",2011,Mk6 (2008—2012),135 000 км,10 записей в отчёте Автотеки,Оригинал,2,Не битый,1.4 TSI DSG (122 л.с.),1.4 л,Бензин,Робот,Передний,,Хетчбек 3-дверный,Серый,Левый,WVWZ*************,Не интересует,,,,,Гидравлический,Климат-контроль однозонный,,,,,,,Фронтальные,Шторки,Боковые задние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 AT, 2012, 109 000 км","4,8",820000,"Омская обл., Омск, мкр-н Городок Нефтяников, ул. Энтузиастов, 37/1",2012,V (2009—2015),109 000 км,8 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 MPI AT (105 л.с.),1.6 л,Бензин,Автомат,Передний,Comfortline,Седан,Чёрный,Левый,XW8Z*************,Возможен,,,,,Электрический,Климат-контроль однозонный,,Ткань,,,,,,,,,,,,,Электростеклоподъемники,,Электропривод,,,,,,,,,,,,,,,,Цвет салона,,,,,,,,,Обогрев,,,,,,,
"Volkswagen Polo 1.6 AT, 2020, 144 396 км","4,8",950000,"Москва, ул. Мичуринский Проспект, Олимпийская Деревня, 4к1",2020,V рестайлинг (2015—2020),144 396 км,4 записи в отчёте Автотеки,Электронный,2,Не битый,1.6 MPI AT (110 л.с.),1.6 л,Бензин,Автомат,Передний,Trendline,Седан,Белый,Левый,XW8Z*************,Не интересует,,,,,Гидравлический,Кондиционер,,,,,,,Фронтальные,,,Антиблокировка тормозов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2020, 20 637 км","4,8",1550000,"Челябинская обл., Миасс, ул. Степана Разина",2020,V рестайлинг (2015—2020),20 637 км,3 записи в отчёте Автотеки,Электронный,1,Не битый,1.6 MPI MT (90 л.с.),1.6 л,Бензин,Механика,Передний,Connect,Седан,Белый,Левый,XW8Z*************,Не интересует,,,,,Электрический,Климат-контроль однозонный,Атермальное остекление,,,,,,Фронтальные,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2011, 247 000 км","4,8",650000,"Пермский край, Пермь, ул. Василия Васильева, 1Б",2011,V (2009—2015),247 000 км,8 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MPI MT (85 л.с.),1.6 л,Бензин,Механика,Передний,Club,Седан,Серый,Левый,XW8Z*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 AT, 2017, 165 500 км","4,8",1200000,"Ставропольский край, Ставрополь, ул. Тухачевского, 30",2017,V рестайлинг (2015—2020),165 500 км,27 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MPI AT (110 л.с.),1.6 л,Бензин,Автомат,Передний,Select,Седан,Чёрный,Левый,XW8Z*************,Не интересует,,,,,,Управление на руле,,,,,,,,,,,,,,,,,,,,,,,,,,,Электростеклоподъемники,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Jetta 1.4 AT, 2017, 132 749 км","4,9",1390000,"Ростовская обл., Аксайский р-н, Аксайское городское поселение, Аксай, Аксайский пр-т, 15",2017,VI рестайлинг (2014—2019),132 749 км,Проверить в Автотеке,,1,Не битый,1.4 TSI AT (150 л.с.),1.4 л,Бензин,Автомат,Передний,Base,Седан,Серый,Левый,3VWD*************,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Tiguan 2.0 AT, 2015, 137 920 км","4,8",1090000,"Москва, Северо-Восточный административный округ, Останкинский район, Выставка достижений народного хозяйства",2015,I рестайлинг (2011—2019),137 920 км,11 записей в отчёте Автотеки,Оригинал,2,Не битый,2.0 TDI 4Motion AT (140 л.с.),2 л,Дизель,Автомат,Полный,Cup,Внедорожник 5-дверный,Серебряный,Левый,XW8Z*************,,,,,,,,,,,,,,,,,,,,Т,Есть сервисная книжка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,На гарантии,,,,,,
"Volkswagen Golf 1.2 MT, 2013, 176 000 км","4,8",840000,"Республика Карелия, Петрозаводский г.о., Петрозаводск, пл. Ленина",2013,Mk7 (2012—2017),176 000 км,14 записей в отчёте Автотеки,Оригинал,2,Не битый,1.2 TSI MT (105 л.с.),1.2 л,Бензин,Механика,Передний,Comfortline,Хетчбек 5-дверный,Чёрный,Левый,WVWZ*************,Не интересует,,,,,Электрический,Климат-контроль многозонный,,,,,,,Фронтальные,Шторки,Боковые задние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Touareg 2.5 AT, 2005, 345 000 км","4,7",850000,"Ростовская обл., Ростов-на-Дону, ул. Малиновского, 73",2005,I (2002—2006),345 000 км,14 записей в отчёте Автотеки,,4+,Не битый,2.5 TDI AT (174 л.с.),2.5 л,Дизель,Автомат,Полный,Базовая,Внедорожник 5-дверный,Серый,Левый,WVGZ*************,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 AT, 2017, 99 000 км","4,8",1220000,"Волгоградская обл., Волгоград, ул. Джамбула Джабаева, 3",2017,V рестайлинг (2015—2020),99 000 км,14 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MPI AT (110 л.с.),1.6 л,Бензин,Автомат,Передний,,Седан,Белый,Левый,XW8Z*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Passat 1.4 AMT, 2015, 152 786 км","4,9",1450000,"Московская обл., г.о. Красногорск, д. Путилково, территория Гринвуд, с31",2015,B8 (2014—2020),152 786 км,17 записей в отчёте Автотеки,Оригинал,2,Не битый,1.4 TSI DSG (150 л.с.),1.4 л,Бензин,Робот,Передний,Business,Седан,Чёрный,Левый,WVWZ*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Passat 1.9 MT, 1999, 242 000 км","4,6",450000,"Краснодарский край, Новороссийск, пр-т Дзержинского, 220",1999,B5 (1996—2001),242 000 км,2 записи в отчёте Автотеки,Оригинал,3,Не битый,1.9 TDI MT (110 л.с.),1.9 л,Дизель,Механика,Передний,Базовая,Седан,Синий,Левый,WVWZ*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Tiguan 2.0 AMT, 2020, 35 200 км","4,8",3300000,"Самарская обл., Самара, Ново-Садовая ул., 347А",2020,II (2016—2020),35 200 км,3 записи в отчёте Автотеки,Оригинал,2,Не битый,2.0 TDI 4MOTION DSG (150 л.с.),2 л,Дизель,Робот,Полный,Sportline,Внедорожник 5-дверный,Коричневый,Левый,XW8Z*************,Возможен,Сигнализация,Иммобилайзер,,,Гидравлический,Климат-контроль многозонный,Атермальное остекление,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2019, 70 000 км","4,8",1250000,"Тульская обл., Щёкинский р-н, муниципальное образование Щёкино, Щёкино, ул. Болдина",2019,V рестайлинг (2015—2020),70 000 км,5 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MPI MT (110 л.с.),1.6 л,Бензин,Механика,Передний,Select,Седан,Синий,Левый,XW8Z*************,Возможен,Сигнализация,,,,Гидравлический,Кондиционер,,,,,,,Фронтальные,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Golf 1.4 AMT, 2011, 218 000 км","4,8",700000,"Республика Крым, г.о. Симферополь, пгт. Аграрное, Парковая ул.",2011,Mk6 (2008—2012),218 000 км,18 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.4 TSI DSG (122 л.с.),1.4 л,Бензин,Робот,Передний,Style,Хетчбек 5-дверный,Серебряный,Левый,WVWZ*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2013, 123 000 км","4,8",890000,"Пермский край, Пермь, ул. Чкалова, 15",2013,V (2009—2015),123 000 км,10 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MPI MT (105 л.с.),1.6 л,Бензин,Механика,Передний,Sochi Edition,,Серебряный,Левый,XW8Z*************,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Passat 1.6 MT, 2000, 335 000 км","4,6",300000,"Смоленская обл., Смоленск, ул. Октябрьской Революции",2000,B5 (1996—2001),335 000 км,8 записей в отчёте Автотеки,,4+,Не битый,1.6 MT (101 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Седан,Синий,Левый,WVWZ*************,Не интересует,,,,,Электрический,,,,,,,,,,,,,,,,,"Шины и диски15""",,,,,Зеркал,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Jetta 1.6 MT, 1985, 150 000 км","4,9",195000,"Ставропольский край, Ставрополь, Шпаковская ул., 98",1985,II (1984—1992),150 000 км,11 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (60 л.с.),1.6 л,Дизель,Механика,Передний,Базовая,Седан,Серый,Левый,WVWZ*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Tiguan 2.0 AT, 2009, 179 345 км","4,7",1250000,"Мурманская обл., Мурманск, Ледокольный пр., 11",2009,I (2007—2011),179 345 км,7 записей в отчёте Автотеки,Оригинал,3,Не битый,2.0 TSI 4Motion AT (170 л.с.),2 л,Бензин,Автомат,Полный,Sport&Style,Внедорожник 5-дверный,Серый,Левый,XW8Z*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 AT, 2011, битый, 152 000 км","4,8",320000,"Московская обл., Егорьевск, ул. Красной Армии, 26",2011,V (2009—2015),152 000 км,8 записей в отчёте Автотеки,Оригинал,2,Битый,1.6 MPI AT (105 л.с.),1.6 л,Бензин,Автомат,Передний,Comfortline,Седан,Серебряный,Левый,XW8Z*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Golf 1.6 AMT, 2010, 237 000 км","4,8",880000,"Республика Крым, Кировский р-н, городское поселение Старый Крым, Старый Крым, Красная пл.",2010,Mk6 (2008—2012),237 000 км,18 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.6 DSG (102 л.с.),1.6 л,Бензин,Робот,Передний,Trendline,Хетчбек 5-дверный,Серебряный,Левый,XW8Z*************,Не интересует,,,,,Электрический,Климат-контроль многозонный,,,,,,,,,,,,,,,,,,,Антипробуксовка,,,,,,,,Активная безопасность,,,,,,,,,,,,,Распред. тормозных усилий,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2017, 106 000 км","4,8",890000,"Пермский край, Пермь, ул. Спешилова, 109",2017,V рестайлинг (2015—2020),106 000 км,8 записей в отчёте Автотеки,,2,Не битый,1.6 MPI MT (90 л.с.),1.6 л,Бензин,Механика,Передний,Life,Седан,Синий,Левый,XW8Z*************,,,Иммобилайзер,,,,Кондиционер,,Ткань,,,,,Фронтальные,,,,,,,,,,,,,,,,,,,,,,,,,,Противоугонная система,,,,,,,,,,,,,,,,
"Volkswagen Passat 1.6 MT, 1991, 250 000 км","4,7",125000,"Санкт-Петербург, пр-т Ветеранов, 173к7",1991,B3 (1988—1993),250 000 км,8 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.6 MT (80 л.с.),1.6 л,Дизель,Механика,Передний,Базовая,Седан,Пурпурный,Левый,WVWZ*************,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Golf 1.6 AMT, 2009, 280 000 км","4,8",650000,"Воронежская обл., Новоусманский р-н, с. Новая Усмань, пл. Мира",2009,Mk6 (2008—2012),280 000 км,14 записей в отчёте Автотеки,Дубликат,3,Не битый,1.6 DSG (102 л.с.),1.6 л,Бензин,Робот,Передний,Trendline,Хетчбек 5-дверный,Красный,Левый,XW8Z*************,Возможен,,,,,Гидравлический,,,Ткань,,,,,,,,,,,,,,,,,Антипробуксовка,,,,,,,,,,,,,,Активная безопасность,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 AT, 2020, 18 000 км","4,7",1650000,"Москва, Новомосковский административный округ, поселение Московский, д. Румянцево, Бизнес Парк Румянцево",2020,VI (2020—2023),18 000 км,Проверить в Автотеке,Электронный,1,Не битый,1.6 MPI AT (110 л.с.),1.6 л,Бензин,Автомат,Передний,Exclusive,Лифтбек,Белый,Левый,XW8Z*************,Не интересует,Центральный замок,,Шторки,,Электрический,Кондиционер,,,,,,,,,,,,,,,,,,,,,,,Подушки безопасности,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Passat 1.8 AT, 1998, 350 000 км","4,6",260000,"Республика Крым, Феодосия, б-р Старшинова",1998,B5 (1996—2001),350 000 км,Проверить в Автотеке,Дубликат,4+,Не битый,1.8 AT (125 л.с.),1.8 л,Бензин,Автомат,Передний,Базовая,Седан,Серый,Левый,WVWZ*************,,,,,,Гидравлический,Кондиционер,,Ткань,,Передние и задние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Passat 2.0 AMT, 2008, 203 500 км","4,8",730000,"Тверская обл., Тверь, ул. Левитана, 58",2008,B6 (2005—2010),203 500 км,12 записей в отчёте Автотеки,Оригинал,3,Не битый,2.0 TDI DSG (140 л.с.),2 л,Дизель,Робот,Передний,Highline,Седан,Чёрный,Левый,WVWZ*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2020, 52 000 км","4,7",1784000,"Новгородская обл., Новгородский р-н, Ермолинское сельское поселение, д. Лешино, 2В",2020,VI (2020—2023),52 000 км,9 записей в отчёте Автотеки,Электронный,1,Не битый,1.6 MPI MT (110 л.с.),1.6 л,Бензин,Механика,Передний,Exclusive,Лифтбек,Серебряный,Левый,XW8Z*************,Не интересует,,,,,Электрический,Климат-контроль однозонный,Атермальное остекление,,,,,,Фронтальные,,,,,,,,,,,,,Боковые передние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Jetta 1.4 MT, 2014, 168 742 км","4,8",970000,"Белгородская обл., Белгород, Соборная пл.",2014,VI (2010—2015),168 742 км,11 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.4 TSI MT (122 л.с.),1.4 л,Бензин,Механика,Передний,Style,Седан,Серебряный,Левый,XW8Z*************,Не интересует,,,,,Гидравлический,Климат-контроль многозонный,,,,,,,,,,,,,,,,,,,Антипробуксовка,,,,,,,,Активная безопасность,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 AT, 2013, 198 000 км","4,8",770000,"Воронежская обл., Воронеж, ул. Любы Шевцовой, 36А",2013,V (2009—2015),198 000 км,16 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 MPI AT (105 л.с.),1.6 л,Бензин,Автомат,Передний,Comfortline,Седан,Чёрный,Правый,XW8Z*************,Не интересует,,,,,,,,,,,,,,,,Антиблокировка тормозов,Курсовая устойчивость,Усилитель руля,,,,,,,,,,,,,,,,,,,,,,,Управление климатом,,,,,,,,,,,,,,
