Название авто,Рейтинг,Цена,Расположение,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен,Усилитель руля,Управление климатом,Управление на руле,Подушки безопасности,Коленные,Боковые передние,Антиблокировка тормозов,Активная безопасность,Антипробуксовка,Распред. тормозных усилий,Обнаружение пешеходов,Кондиционер,Противоугонная система,Центральный замок,Атермальное остекление,Сигнализация,Иммобилайзер,Фронтальные,Цвет салона,Электростеклоподъемники,Помощь при вождении,Фары,Боковые задние,Электрический,Салон,Климат-контроль многозонный,Кожаный руль,Данные о ,О,Шторки,Блок. дифференциала,Климат-контроль однозонный,Мультимедиа и навигацияCD/DVD/Blu-rayMP3Bluetooth,Датчик дождя,Бортовой компьютер,Передних сидений,Электропривод,Память настроек,Гидравлический,Обслуживался у дилера,Спутник,Электрогидравлический,Обогрев,Зеркал,"Шины и диски15""",Мультимедиа и навигация,Складывания зеркал,Заднего стекла,Ткань,Круиз-контроль,Камера заднего вида,Люк,Тёмный,Передние и задние
"Honda Stepwgn 1.5 CVT, 2020, 12 500 км","4,8",2200000,"Краснодарский край, Краснодар, ул. Дзержинского, 100",2020,V рестайлинг (2017—2022),12 500 км,Проверить в Автотеке,Электронный,1,Не битый,1.5 CVT (150 л.с.) Spada,1.5 л,Бензин,Вариатор,Передний,Базовая,Минивэн,Белый,Правый,RP31******,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Freed 1.5 CVT, 2012, 61 200 км","4,8",910000,"Республика Крым, Симферополь, ул. Чехова, 8",2012,I (2008—2016),61 200 км,Проверить в Автотеке,Электронный,1,Не битый,1.5 CVT (118 л.с.),1.5 л,Бензин,Вариатор,Передний,,Минивэн,Белый,Правый,GB3-*******,Не интересует,Электрический,Кондиционер,,Фронтальные,,Активная безопасность,Курсовая устойчивость,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Stepwgn 1.5 CVT, 2016, 68 000 км","4,9",1595000,"Республика Адыгея, Тахтамукайский р-н, Яблоновское городское поселение, пгт. Яблоновский",2016,V (2015—2017),68 000 км,,Электронный,1,Не битый,1.5 CVT (150 л.с.) Spada,1.5 л,Бензин,Вариатор,Передний,Базовая,Минивэн,Белый,Правый,RP3-********,,,Управление на руле,,,,,,Антиблокировка тормозов,Курсовая устойчивость,Экстренное торможение,,,,,,,,,,,,,,,Кожаный руль,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 MT, 2012, 152 500 км","5,0",900000,"Республика Татарстан, Казань, ул. Рауиса Гареева, 102к1",2012,IX (2011—2015),152 500 км,23 записи в отчёте Автотеки,Дубликат,4+,Не битый,1.8 MT (142 л.с.),1.8 л,Бензин,Механика,Передний,,Седан,Белый,Левый,NLAF*************,Не интересует,,,,,,,,,,,,,,,,,,,Светлый,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda N-WGN 0.7 CVT, 2014, 105 000 км","4,9",1099000,"Мурманская обл., Мурманск, 204-й мкр-н",2014,I (2013—2016),105 000 км,,Электронный,1,Не битый,0.7 4WD CVT (58 л.с.),0.7 л,Бензин,Вариатор,Полный,Базовая,Хетчбек 5-дверный,Чёрный,Правый,JH2-*******,Не интересует,Электрогидравлический,Климат-контроль однозонный,Подушки безопасности,,,Боковые задние,,,,,,,,,,,,Шторки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda CR-V 2.0 AT, 2001, 134 000 км","4,8",650000,"Ленинградская обл., Кировский р-н, Кировское городское поселение, Кировск, ул. Кирова, 18",2001,I рестайлинг (1999—2001),134 000 км,8 записей в отчёте Автотеки,Оригинал,2,Не битый,2.0 4WD AT (147 л.с.),2 л,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Золотой,Левый,JHLR*************,Не интересует,Гидравлический,Кондиционер,,,,,,,,,,,,,Электропривод,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Помощь при вождении,,,,,,,Круиз-контроль,,,
"Honda Stepwgn 1.5 CVT, 2019, 68 000 км","4,8",1710000,"Республика Адыгея, Тахтамукайский р-н, Яблоновское городское поселение, пгт. Яблоновский, ул. Ленина",2019,V рестайлинг (2017—2022),68 000 км,,Электронный,1,Не битый,1.5 CVT (150 л.с.),1.5 л,Бензин,Вариатор,Передний,Базовая,Минивэн,Белый,Правый,RP1-*******,,Электрический,Климат-контроль многозонный,Атермальное остекление,,,,,,,,,,Сигнализация,Иммобилайзер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Stepwgn 1.5 CVT, 2018, 110 000 км","4,8",3500000,"Тюменская обл., Тюмень, Ленинский округ",2018,V рестайлинг (2017—2022),110 000 км,,Электронный,1,Не битый,1.5 CVT (150 л.с.) Spada,1.5 л,Бензин,Вариатор,Передний,Базовая,Минивэн,Белый,Правый,RP3-*******,Не интересует,,,,,,,,,,,,,Сигнализация,Иммобилайзер,,,,,,,,,,,,,,,,,,,,,,,,,,,Усилитель руля,Управление климатом,,,,,,,,,,,,
"Honda Civic 1.8 AMT, 2006, 309 823 км","4,8",615000,"Ярославская обл., Ярославль, ул. Блюхера, 46",2006,VIII (2005—2009),309 823 км,9 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.8 AMT (140 л.с.),1.8 л,Бензин,Робот,Передний,Executive,Хетчбек 5-дверный,Серый,Левый,SHHF*************,Не интересует,Гидравлический,Климат-контроль многозонный,Подушки безопасности,,,Боковые задние,,,,,,,,,,,,Шторки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.5 MT, 1993, 250 000 км","4,8",170000,"Псковская обл., Псков, Советская ул., 93Ак1",1993,V (1991—1997),250 000 км,7 записей в отчёте Автотеки,Оригинал,3,Не битый,1.5 MT (90 л.с.),1.5 л,Бензин,Механика,Передний,Базовая,Хетчбек 3-дверный,Оранжевый,Левый,JHME*************,Не интересует,Гидравлический,Кондиционер,,,,,,,,,,,Центральный замок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Accord 2.0 AT, 2011, 109 290 км","4,8",1495000,"Москва, Дмитровское ш., 163Ак1",2011,VIII рестайлинг (2011—2013),109 290 км,6 записей в отчёте Автотеки,,1,Не битый,2.0 AT (156 л.с.),2 л,Бензин,Автомат,Передний,Базовая,Седан,Серебряный,Левый,JHMC*************,,,Климат-контроль многозонный,,,,,,,,,,,Центральный замок,,,,Подушки безопасности,,,,,,,,,,,,,,,,,,,,,,,,,,Передних сидений,Заднего стекла,,,,,,,,,,
"Honda Civic 1.8 AT, 2012, 145 200 км","5,0",1550000,"Калининградская обл., Калининград, ул. Баженова, 13Б",2012,IX (2011—2015),145 200 км,6 записей в отчёте Автотеки,Оригинал,2,Не битый,1.8 AT (142 л.с.),1.8 л,Бензин,Автомат,Передний,Executive,Седан,Чёрный,Левый,NLAF*************,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,,,Т,Есть сервисная книжка,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Elysion 2.4 AT, 2005, 165 000 км","4,8",940000,"Карачаево-Черкесская Республика, Черкесск, пр-т Ленина",2005,I (2004—2006),165 000 км,,,1,Не битый,2.4 AT (160 л.с.),2.4 л,Бензин,Автомат,Передний,Базовая,Минивэн,Белый,Правый,RR1-*******,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Freed 1.5 CVT, 2010, 108 003 км","4,8",1220000,"Краснодарский край, Краснодар, Восточно-Кругликовская ул., 30",2010,I (2008—2016),108 003 км,2 записи в отчёте Автотеки,Электронный,1,Не битый,1.5 CVT (118 л.с.),1.5 л,Бензин,Вариатор,Передний,,Минивэн,Белый,Правый,GB31******,Не интересует,Гидравлический,Климат-контроль однозонный,,Фронтальные,,,,Антиблокировка тормозов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Accord 2.4 AT, 2011, 215 000 км","4,8",1497000,"Краснодарский край, Краснодар, Ростовское ш., 20/1",2011,VIII рестайлинг (2011—2013),215 000 км,17 записей в отчёте Автотеки,,3,Не битый,2.4 i-VTEC AT (200 л.с.),2.4 л,Бензин,Автомат,Передний,Type-S,Седан,Синий,Левый,JHMC*************,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda e:NS1 AT, 2023, 20 км",Отсутствует,3550000,"Пензенская обл., Пенза, ул. Суворова, 3А",2023,I (2022—2024),20 км,,Электронный,1,Не битый,0.0 AT (204 л.с.),,Электро,Автомат,Передний,Base,Внедорожник 5-дверный,Голубой,Левый,LVHR*************,Не интересует,Электрический,Климат-контроль многозонный,Подушки безопасности,,,,,,,,,,,,,,,Шторки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Stepwgn 2.0 CVT, 2014, 103 000 км","4,7",1400090,"Республика Татарстан, Казань, пер. Кирова, 4",2014,IV рестайлинг (2012—2015),103 000 км,Проверить в Автотеке,Оригинал,1,Не битый,2.0 CVT (150 л.с.) Spada,2 л,Бензин,Вариатор,Передний,Базовая,Минивэн,Чёрный,Правый,RK6-*******,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Т,Есть сервисная книжка,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 AT, 2008, 250 000 км","4,9",660000,"Москва, Малая Филёвская ул.",2008,VIII (2005—2009),250 000 км,10 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,Executive,Седан,Белый,Левый,NLAF*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Freed 1.5 CVT, 2014, 84 000 км","4,8",1397000,"Краснодарский край, Краснодар, Ростовское ш., 20/1",2014,I (2008—2016),84 000 км,4 записи в отчёте Автотеки,Оригинал,1,Не битый,1.5 Hybrid CVT (88 л.с.),1.5 л,Гибрид,Вариатор,Передний,Spike,Минивэн,Голубой,Правый,GP3-*******,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Shuttle 1.5 CVT, 2016, 94 743 км","4,9",1529000,"Оренбургская обл., Оренбург, Загородное ш., 3/1",2016,II (2015—2019),94 743 км,5 записей в отчёте Автотеки,,1,Не битый,1.5 CVT (132 л.с.),1.5 л,Бензин,Вариатор,Передний,Базовая,Универсал,Серый,Правый,GK8-*******,,,,,Фронтальные,,Усилитель руля,,,,,,,Иммобилайзер,,,,,,,,,,,,,,,,,,,,,,,,,,Управление климатом,,,,,,,,,,,,,,,
"Honda Civic 1.4 MT, 1997, 300 000 км","4,8",319000,"Московская обл., Орехово-Зуевский г.о., Ликино-Дулёво, Советская ул., 35",1997,VI (1995—2002),300 000 км,4 записи в отчёте Автотеки,Дубликат,4+,Не битый,1.4 MT (90 л.с.),1.4 л,Бензин,Механика,Передний,Базовая,Хетчбек 3-дверный,Синий,Левый,JHME*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda CR-V 2.0 AT, 2012, 154 576 км","4,9",1399000,"Санкт-Петербург, пр-т Маршала Жукова, 78",2012,III рестайлинг (2009—2012),154 576 км,13 записей в отчёте Автотеки,,2,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Elegance,Внедорожник 5-дверный,Коричневый,Левый,SHSR*************,Возможен,,Климат-контроль многозонный,,Фронтальные,Шторки,Боковые задние,,,,,,,,,,,,,,,,,,,Комбинированный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 AT, 2008, 168 000 км","4,9",865000,"Москва, Сокольническая линия",2008,VIII (2005—2009),168 000 км,11 записей в отчёте Автотеки,Оригинал,1,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,Executive,Седан,Бордовый,Левый,NLAF*************,Возможен,Гидравлический,Климат-контроль однозонный,,,,,,,,,,,,,,,,,,,,,,,,,,Т,Обслуживался у дилера,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Stepwgn 1.5 CVT, 2016, 67 000 км","4,9",1510000,"Республика Адыгея, Майкоп, ул. Горького, 214",2016,V (2015—2017),67 000 км,,Электронный,1,Не битый,1.5 CVT (150 л.с.),1.5 л,Бензин,Вариатор,Передний,Базовая,Минивэн,Белый,Правый,RP1-*******,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 AT, 2008, 246 014 км","4,9",680000,"Краснодарский край, Краснодар, Ростовское ш., 22Б",2008,VIII (2005—2009),246 014 км,26 записей в отчёте Автотеки,,4+,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,,Седан,Чёрный,Левый,JHMF*************,Возможен,,Климат-контроль однозонный,,,,,Антипробуксовка,,,,,,,,,Центральный замок,Активная безопасность,,,,Круиз-контроль,,,,Ткань,,,,,,,,,,Противоугонная система,,Зеркал,,,,,,Передних сидений,,,,,,,,,,,
"Honda Stepwgn 2.0 CVT, 2012, 170 000 км","4,7",1760000,"Краснодарский край, Краснодар, Карасунский внутригородской округ, мкр-н Гидростроителей, жилой комплекс Парусная Регата",2012,IV рестайлинг (2012—2015),170 000 км,,Электронный,1,Не битый,2.0 CVT (150 л.с.) Spada,2 л,Бензин,Вариатор,Передний,Базовая,Минивэн,Белый,Правый,RK5-*******,Не интересует,Гидравлический,Климат-контроль многозонный,,,,,,,,,,,,,,,,,,,,,,,Велюр,,Цвет салона,,,,,,,Датчик света,,Электростеклоподъемники,,,,,,,,,,,,,,,,,Обогрев,Помощь при вождении
"Honda CR-V 2.4 AT, 2008, 261 219 км","4,9",1450000,"Москва, Иркутская ул., 5/6с1",2008,III (2006—2009),261 219 км,23 записи в отчёте Автотеки,,4+,Не битый,2.4 4WD AT (166 л.с.),2.4 л,Бензин,Автомат,Полный,,Внедорожник 5-дверный,Белый,Левый,SHSR*************,Возможен,,,,,,,,Антиблокировка тормозов,Курсовая устойчивость,,,,,,,,,,,,,,,,,,,,,,,,,,,,Зеркал,,,,,,Зеркал,,,,,,,,,,,
"Honda Crosstour 3.5 AT, 2012, 270 000 км","5,0",1200000,"Санкт-Петербург, Белоостровская ул., 10к1",2012,I (2009—2012),270 000 км,14 записей в отчёте Автотеки,Оригинал,3,Не битый,3.5 4WD AT (275 л.с.),3.5 л,Бензин,Автомат,Полный,,Внедорожник 5-дверный,Чёрный,Левый,1HGT*************,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda CR-V 2.0 AT, 2004, 187 000 км","4,9",709888,"Нижегородская обл., Нижний Новгород, Московское ш., 304Ак1",2004,II рестайлинг (2004—2006),187 000 км,6 записей в отчёте Автотеки,,2,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Синий,Левый,SHSR*************,,,Кондиционер,,Фронтальные,,Активная безопасность,Антипробуксовка,,,,,,,,,,,,,,,,,,Кожа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 AMT, 2008, 172 000 км","4,8",875000,"Санкт-Петербург, ул. Возрождения, 36А",2008,VIII (2005—2009),172 000 км,10 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.8 AMT (140 л.с.),1.8 л,Бензин,Робот,Передний,Executive,Хетчбек 5-дверный,Оранжевый,Левый,SHHF*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Accord 2.4 AT, 2007, 334 000 км","4,7",1099000,"Краснодарский край, Краснодар, ул. имени Калинина, 86/1",2007,VII рестайлинг (2005—2008),334 000 км,10 записей в отчёте Автотеки,Оригинал,1,Не битый,2.4 AT (190 л.с.) Type S,2.4 л,Бензин,Автомат,Передний,Базовая,Седан,Белый,Левый,JHMC*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Elysion 2.4 AT, 2010, 154 000 км","4,8",819000,"Республика Ингушетия, Сунжа, ул. Висаитова",2010,I рестайлинг (2006—2013),154 000 км,,Оригинал,1,Не битый,2.4 4WD AT (160 л.с.),2.4 л,Бензин,Автомат,Полный,Базовая,Минивэн,Белый,Правый,RR2-*******,Не интересует,Электрический,Климат-контроль многозонный,Атермальное остекление,,,,,,,,,,Сигнализация,,,,Спутник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Freed 1.5 AT, 2010, 53 423 км","4,8",830000,"Тюменская обл., Вагайский р-н",2010,I (2008—2016),53 423 км,Проверить в Автотеке,Электронный,1,Не битый,1.5 4WD AT (118 л.с.),1.5 л,Бензин,Автомат,Полный,Базовая,Минивэн,Серебряный,Правый,GB3-*******,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda CR-V 2.4 AT, 2013, 116 684 км","5,0",1914000,"Нижегородская обл., Нижний Новгород, Московское ш., 352Ак4",2013,IV (2011—2015),116 684 км,12 записей в отчёте Автотеки,,4+,Не битый,2.4 4WD AT (190 л.с.),2.4 л,Бензин,Автомат,Полный,Executive,Внедорожник 5-дверный,Белый,Левый,1HGR*************,,,Климат-контроль многозонный,,Фронтальные,Шторки,,,,,,,,,,,,,,,,,,,,Кожа,,Люк,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Freed 1.5 CVT, 2014, 82 000 км","4,8",1387000,"Челябинская обл., Челябинск, ул. Молодогвардейцев",2014,I (2008—2016),82 000 км,,Электронный,1,Не битый,1.5 Hybrid CVT (88 л.с.),1.5 л,Гибрид,Вариатор,Передний,,Минивэн,Белый,Правый,GP3-*******,Не интересует,Электрический,Климат-контроль однозонный,Атермальное остекление,Фронтальные,,,,,,,,,Центральный замок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 AT, 2007, 330 000 км","4,9",630000,"Нижегородская обл., Нижний Новгород, ул. Ларина, 15Д",2007,VIII (2005—2009),330 000 км,11 записей в отчёте Автотеки,,2,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,Elegancе,Седан,Серебряный,Левый,JHMF*************,,,,,,,,,,,,,Салон,Центральный замок,,,,Управление климатом,,,,Бортовой компьютер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 2.0 CVT, 2018, 83 500 км","4,9",1840000,"Москва, Фестивальная ул.",2018,X (2015—2021),83 500 км,5 записей в отчёте Автотеки,Электронный,1,Не битый,2.0 CVT (158 л.с.),2 л,Бензин,Вариатор,Передний,Базовая,Седан,Серый,Левый,19XF*************,Не интересует,Электрический,Климат-контроль однозонный,Активная безопасность,,,,Антипробуксовка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda CR-V 2.0 AT, 2013, 190 000 км","5,0",2000200,"Тюменская обл., Ханты-Мансийский АО, Кондинский р-н, городское поселение Междуреченский, пгт. Междуреченский",2013,IV (2011—2015),190 000 км,9 записей в отчёте Автотеки,Оригинал,3,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Elegance,Внедорожник 5-дверный,Белый,Левый,SHSR*************,Не интересует,Электрический,Климат-контроль многозонный,Атермальное остекление,Фронтальные,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda CR-V 1.5 CVT, 2019, 80 000 км","5,0",3180000,"Тверская обл., Тверь, мкр-н Юность",2019,V (2016—2022),80 000 км,2 записи в отчёте Автотеки,Электронный,1,Не битый,1.5 4WD CVT (192 л.с.),1.5 л,Бензин,Вариатор,Полный,EX-L,Внедорожник 5-дверный,Чёрный,Левый,JHMR*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Shuttle 1.5 AMT, 2019, 84 750 км","4,9",1630000,"Костромская обл., Костромской р-н, Никольское сельское поселение, пос. Фанерник",2019,II (2015—2019),84 750 км,,Электронный,1,Не битый,1.5hyb AMT (110 л.с.),1.5 л,Гибрид,Робот,Передний,Базовая,Универсал,Серый,Правый,GP7-*******,Не интересует,,,,,,,,Антиблокировка тормозов,Курсовая устойчивость,Экстренное торможение,Усилитель руля,,,,,,,,,,,,,Управление климатом,,,,,,,,Управление на руле,,,,,,,,,,,,,,,,,,,,,,
"Honda ZR-V 1.5 CVT, 2022 Новый","5,0",4790000,"Москва, Домостроительная ул., 4с1",2022,I (2022—2024),,,Электронный,,Не битый,1.5 CVT (182 л.с.),1.5 л,Бензин,Вариатор,Передний,Base,Внедорожник 5-дверный,Синий,Левый,LHGR*************,,Электрический,Климат-контроль многозонный,,,,,,,,,,,,,,,,,,,,,,,Люк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 MT, 2008, 246 000 км","4,9",590000,"Санкт-Петербург, Ириновский пр-т, 1П",2008,VIII (2005—2009),246 000 км,9 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.8 MT (140 л.с.),1.8 л,Бензин,Механика,Передний,,Седан,Серебряный,Левый,NLAF*************,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 AT, 2008, 187 000 км","4,8",729000,"Республика Татарстан, Казань, Приволжский район, мкр-н Горки-3, Дубравная ул., 23А",2008,VIII рестайлинг (2008—2011),187 000 км,14 записей в отчёте Автотеки,Оригинал,2,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,,Седан,Серебряный,Левый,JHMF*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 AT, 2007, 183 000 км","4,9",839000,"Свердловская обл., Берёзовский г.о., Берёзовский, Берёзовский тракт, 4Б",2007,VIII (2005—2009),183 000 км,8 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,Elegancе,Седан,Серебряный,Левый,JHMF*************,Не интересует,Гидравлический,Климат-контроль однозонный,Атермальное остекление,Фронтальные,Шторки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Stream 1.8 AT, 2011, 108 000 км","5,0",1559000,"Свердловская обл., Екатеринбург, Кольцевая ул., 39А",2011,II рестайлинг (2009—2014),108 000 км,,Электронный,1,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,Базовая,Минивэн,Чёрный,Правый,RN6-*******,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Stream 1.8 AT, 2013, 62 730 км","5,0",1157000,"Республика Крым, Симферополь, Киевская ул., 41",2013,II рестайлинг (2009—2014),62 730 км,Проверить в Автотеке,Электронный,1,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,Базовая,Минивэн,Белый,Правый,RN6-*******,,,,,,,,,,,,,,,,,,,,,Передние и задние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Freed 1.5 AMT, 2018, 72 000 км","5,0",1890000,"Краснодарский край, Сочи, мкр-н КСМ, Кипарисовая ул., 16",2018,II (2016—2019),72 000 км,,,1,Не битый,1.5 Hybrid 4WD AMT (110 л.с.),1.5 л,Гибрид,Робот,Полный,Базовая,Минивэн,Серый,Правый,GB8-********,,,,,,,,,Антиблокировка тормозов,,,,,Сигнализация,Иммобилайзер,,,,,,,Камера заднего вида,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Бортовой компьютер,,,,
"Honda Freed 1.5 AT, 2012, 61 000 км","4,8",910000,"Краснодарский край, Краснодар, Российская ул., 354",2012,I (2008—2016),61 000 км,,,1,Не битый,1.5 4WD AT (118 л.с.),1.5 л,Бензин,Автомат,Полный,,Минивэн,Серый,Правый,GB3-*******,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda e:NP1 AT, 2023, 15 км",Отсутствует,3150000,"Ставропольский край, Новоалександровский муниципальный округ, Новоалександровск, ул. Ленина",2023,I (2022—2024),15 км,,Электронный,1,Не битый,0.0 AT (204 л.с.),,Электро,Автомат,Передний,Base,Внедорожник 5-дверный,Чёрный,Левый,LHGR*************,Не интересует,Электрический,Климат-контроль многозонный,Салон,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Fit 1.3 CVT, 2003, 270 000 км","4,9",525000,"Краснодарский край, Краснодар, мкр-н Завод Измерительных Приборов, Зиповская ул., 5/3",2003,GD (2001—2008),270 000 км,2 записи в отчёте Автотеки,Оригинал,2,Не битый,1.3 CVT (86 л.с.),1.3 л,Бензин,Вариатор,Передний,Базовая,Хетчбек 5-дверный,Серебряный,Правый,GD11******,Не интересует,Гидравлический,Кондиционер,,Фронтальные,,,,Антиблокировка тормозов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
